tiempo,rank
0.000254859,7
0.000118932,4
0.000114922,6
0.000119462,6
0.000113241,6
0.000119855,4
0.000108374,1
0.000118892,6
0.000111864,6
0.000107533,6
0.000106677,4
0.000106034,4
0.000139517,2
0.000109838,1
0.000108506,2
0.000117694,7
0.000111777,7
0.000106539,7
0.000106408,7
0.000106602,7
0.000106379,5
0.000106044,4
0.000105763,4
0.000106064,4
0.000105732,4
0.000105849,4
0.000105901,4
0.00010534,4
0.000105749,1
0.000105843,1
0.00010889,1
0.000106398,1
0.000106133,6
0.000107611,6
0.000107028,6
0.000106728,6
0.000106187,6
0.000106509,6
0.000105586,6
0.00010612,6
0.000105865,6
0.00010541,6
0.000106242,4
0.000106036,4
0.000105902,1
0.000105432,1
0.000106143,1
0.000105999,1
0.000109624,4
0.000106143,4
0.00010623,1
0.000105861,1
0.000105471,1
0.000105938,4
0.000106366,4
0.000105926,4
0.000105481,4
0.000105604,4
0.000105333,4
0.00010611,4
0.000106042,4
0.000105408,4
0.000105011,4
0.000105964,4
0.000105867,2
0.000106078,4
0.000105259,2
0.000105496,1
0.000110177,4
0.000106349,1
0.000106216,1
0.000107666,4
0.000106417,1
0.000106433,1
0.000106063,1
0.000106065,1
0.000106345,1
0.000106262,1
0.00126453,1
0.000825465,6
7.0008e-05,6
6.8825e-05,6
6.8801e-05,6
6.855e-05,6
8.3302e-05,1
6.8698e-05,1
6.8571e-05,1
6.8331e-05,1
6.8331e-05,1
6.8178e-05,1
6.8666e-05,1
6.8277e-05,1
6.8381e-05,1
6.8881e-05,1
6.8238e-05,1
6.8647e-05,4
6.9521e-05,1
6.8363e-05,1
0.000552079,6
0.000105289,3
7.3802e-05,2
7.3559e-05,2
7.5557e-05,1
7.278e-05,1
7.3267e-05,2
7.4711e-05,2
7.3595e-05,1
7.3079e-05,2
7.2395e-05,2
7.3781e-05,3
7.2764e-05,1
7.2824e-05,3
7.3735e-05,3
7.5847e-05,2
7.4979e-05,2
7.701e-05,2
7.275e-05,3
7.3265e-05,2
7.4656e-05,1
7.56e-05,1
7.3102e-05,2
7.4213e-05,2
7.2592e-05,1
7.3014e-05,1
7.5094e-05,1
7.4642e-05,2
7.2942e-05,2
7.259e-05,3
7.3438e-05,2
7.2939e-05,2
7.3073e-05,2
7.2914e-05,1
7.3195e-05,4
7.5315e-05,2
7.3851e-05,2
7.3827e-05,3
7.4294e-05,2
7.4761e-05,1
7.3279e-05,2
7.3278e-05,1
7.3304e-05,1
7.3269e-05,1
7.5118e-05,2
7.4421e-05,3
7.3433e-05,1
7.4481e-05,2
7.2874e-05,2
7.4224e-05,3
7.2964e-05,2
7.3349e-05,3
7.3064e-05,1
7.2979e-05,1
7.3002e-05,1
7.5123e-05,1
7.3308e-05,2
7.4415e-05,6
7.6122e-05,4
7.5827e-05,3
7.5372e-05,2
7.4538e-05,2
7.4729e-05,3
5.423e-05,2
2.2566e-05,6
3.8908e-05,4
3.7933e-05,6
3.8891e-05,4
3.7561e-05,6
3.8812e-05,4
3.7672e-05,6
3.8548e-05,4
3.7201e-05,6
3.8001e-05,4
3.7869e-05,6
3.7906e-05,4
3.8243e-05,6
3.7512e-05,4
3.8167e-05,6
3.7476e-05,4
3.7828e-05,6
3.8227e-05,4
3.7947e-05,6
3.8062e-05,4
3.8071e-05,6
3.8317e-05,4
3.7602e-05,6
3.8342e-05,4
3.7599e-05,6
3.8224e-05,4
3.7553e-05,6
3.8683e-05,4
3.7649e-05,6
3.8428e-05,4
3.7358e-05,6
3.7349e-05,4
3.817e-05,6
3.8637e-05,4
3.7651e-05,6
3.8404e-05,4
3.7926e-05,6
3.8377e-05,4
5.7735e-05,4
3.7995e-05,4
3.8834e-05,4
3.8053e-05,6
3.7498e-05,4
3.8016e-05,6
3.7659e-05,4
3.8447e-05,6
3.7797e-05,4
3.7695e-05,6
3.7452e-05,4
3.7853e-05,6
3.7743e-05,4
3.8025e-05,6
3.7404e-05,4
3.8318e-05,6
3.7759e-05,4
3.8037e-05,6
3.8448e-05,4
3.7576e-05,6
3.8428e-05,4
3.7998e-05,6
3.8424e-05,4
3.755e-05,6
3.8375e-05,4
3.7702e-05,6
3.8653e-05,4
3.7924e-05,6
3.7686e-05,4
3.791e-05,6
3.767e-05,4
3.8276e-05,6
3.8197e-05,4
3.8158e-05,6
3.7714e-05,4
3.782e-05,6
0.000237176,4
4.3178e-05,6
4.6081e-05,6
3.8114e-05,6
3.9325e-05,6
3.7703e-05,4
3.8669e-05,6
3.7596e-05,4
3.948e-05,6
3.7617e-05,4
3.781e-05,6
3.9145e-05,6
3.9013e-05,6
3.8094e-05,4
3.7841e-05,6
3.9046e-05,6
3.7742e-05,4
3.7612e-05,6
3.7876e-05,4
3.7621e-05,6
3.9132e-05,6
3.9453e-05,6
3.7593e-05,6
3.8877e-05,6
3.9478e-05,6
3.7412e-05,4
3.9471e-05,6
3.762e-05,4
0.000122731,6
4.2291e-05,6
3.7909e-05,4
3.9132e-05,6
3.7977e-05,6
3.8907e-05,6
3.89e-05,6
3.9172e-05,6
3.9117e-05,6
3.7637e-05,4
3.9077e-05,6
3.7323e-05,6
3.9143e-05,6
3.7698e-05,6
3.8735e-05,6
3.75e-05,6
3.8874e-05,6
3.7797e-05,4
3.9219e-05,6
3.7518e-05,4
3.8877e-05,6
4.6916e-05,4
3.9161e-05,6
3.7867e-05,4
3.7515e-05,6
3.8839e-05,6
3.775e-05,4
3.8982e-05,6
3.7852e-05,4
3.7639e-05,6
3.8952e-05,6
3.7501e-05,4
3.8394e-05,6
3.8867e-05,4
3.8816e-05,6
3.7149e-05,6
3.9202e-05,6
3.8603e-05,6
3.8393e-05,4
3.8927e-05,6
3.7419e-05,6
3.8673e-05,6
3.7685e-05,4
3.7676e-05,6
3.8844e-05,6
3.902e-05,6
4.1699e-05,4
3.9242e-05,6
3.7509e-05,6
3.8698e-05,6
3.7807e-05,4
3.8763e-05,6
3.8717e-05,6
3.8498e-05,6
3.9267e-05,6
3.7448e-05,4
3.9036e-05,6
3.7797e-05,4
3.7638e-05,6
3.7376e-05,4
3.7553e-05,6
3.9141e-05,6
4.3393e-05,6
3.8047e-05,6
3.9035e-05,6
3.7521e-05,4
3.8777e-05,6
3.7916e-05,6
3.8859e-05,6
3.759e-05,6
3.883e-05,6
3.7973e-05,4
3.8806e-05,6
3.8801e-05,6
3.8842e-05,6
3.9366e-05,6
3.8539e-05,6
3.7503e-05,4
3.7551e-05,6
3.8969e-05,6
3.7903e-05,4
3.7582e-05,6
3.8957e-05,6
3.7552e-05,6
3.9058e-05,6
3.7697e-05,4
3.8881e-05,6
3.8919e-05,6
3.7819e-05,4
