tiempo,rank,max
2.45826,3,6.76716
2.89555,1,
2.87859,1,
2.18395,1,
2.96788,3,
2.84237,3,
2.94048,4,
2.60155,2,
2.91645,3,
2.63912,4,
2.81701,1,
2.14645,1,
2.8856,3,
2.9018,2,
2.9092,1,
2.2135,4,
2.35091,3,
2.12095,2,
2.05509,2,
1.62725,4,
2.69477,3,
2.81532,2,
2.95194,4,
2.35188,1,
2.77917,3,
2.97027,4,
2.66607,3,
2.49606,4,
2.73289,3,
2.63575,1,
2.49417,3,
2.62034,2,
2.54754,1,
2.52198,3,
2.44632,3,
1.73154,2,
2.43541,2,
2.70561,1,
1.34931,1,
2.28061,3,
2.89239,4,
1.24875,4,
2.91972,1,
2.84863,1,
1.83095,1,
2.82883,1,
2.74288,3,
2.92304,3,
2.67101,3,
2.49876,4,
2.45625,1,
2.88748,1,
2.6535,4,
2.64147,1,
2.23926,1,
1.73013,3,
2.56558,1,
2.55965,4,
2.39876,2,
2.94568,4,
1.94467,2,
2.98379,1,
2.88578,3,
2.93245,2,
2.28945,3,
2.34838,3,
2.89639,1,
2.76029,2,
2.61373,3,
2.50469,3,
1.77573,4,
2.41603,1,
2.7748,3,
2.97171,1,
2.49558,4,
2.6339,2,
2.99574,3,
1.60037,3,
2.34176,1,
2.66667,3,
2.74272,4,
2.44877,2,
2.6362,2,
2.39613,4,
2.80503,4,
2.88414,4,
2.3673,2,
2.65659,2,
2.82603,3,
2.49442,3,
2.61708,3,
2.99399,4,
2.51104,4,
2.51917,3,
2.78889,4,
2.77736,4,
2.03831,2,
2.08015,2,
2.75383,3,
2.1922,4,
