tiempo,rank,max
2.5307,1,9.93483
2.97964,1,
1.73462,3,
2.04739,2,
2.78344,2,
2.22824,3,
2.64782,3,
2.46463,3,
2.44276,1,
2.89209,2,
1.84734,3,
2.39347,2,
2.9378,2,
2.37609,1,
2.92822,1,
2.9557,4,
1.87859,3,
2.71596,1,
2.97646,1,
2.79033,4,
2.3041,2,
2.33373,4,
2.66019,3,
2.44674,3,
2.92183,1,
2.63845,4,
2.5138,4,
2.18864,2,
2.37604,4,
2.87591,2,
2.83511,2,
1.68146,2,
2.55499,4,
2.04821,3,
2.65678,3,
2.43251,1,
2.65964,4,
2.30447,3,
2.52661,4,
2.8916,1,
1.73178,2,
2.89725,3,
2.95543,4,
2.67972,3,
1.56335,2,
2.97392,2,
2.68254,1,
2.91727,3,
2.57847,4,
2.65889,1,
2.10486,4,
2.82009,4,
2.73092,1,
2.28174,4,
2.23593,2,
2669,1,
2.47571,1,
2.62155,4,
1.61012,4,
1.41686,2,
2.09659,1,
2.53349,1,
2.59823,2,
2.63838,4,
2.66439,1,
2.84319,2,
2.52662,1,
1.92199,2,
1.68302,2,
2.34848,2,
1.67743,4,
2.91476,2,
2.67148,2,
2.92759,1,
1.60016,2,
2.84454,3,
2.77859,1,
2.67347,4,
2.77802,3,
2.92251,2,
1.79418,2,
2.98601,4,
2955,2,
2.48829,2,
2.26764,4,
2.81704,3,
2.69727,1,
1.83766,3,
2.96788,1,
2.7918,4,
2.69501,2,
2.08073,1,
2.67461,1,
2.31365,1,
2.91605,2,
2.75406,4,
2.13625,2,
2.01716,4,
2.87272,4,
2.6798,4,
